measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Ukraine,Female,55 to 59,Road injuries,Number,2014,92.29693329755335,106.68640364742917,79.51147456743355
Deaths,Ukraine,Male,60 to 64,Road injuries,Number,2014,207.50273505740282,234.73657095797213,184.1039198677557
Deaths,Ukraine,Female,60 to 64,Road injuries,Number,2014,88.33700826176788,99.74219261126288,77.26470100235109
Deaths,Ukraine,Male,65 to 69,Road injuries,Number,2014,122.73042213713391,139.03083458338088,109.02535485788313
Deaths,Ukraine,Female,65 to 69,Road injuries,Number,2014,66.57035453867837,76.05475547785043,57.743586642034174
Deaths,Ukraine,Male,70 to 74,Road injuries,Number,2014,89.97655053240071,102.88591325555332,79.40569716314984
Deaths,Ukraine,Female,70 to 74,Road injuries,Number,2014,74.12773479831388,86.04258551779768,63.89882834126626
Deaths,Ukraine,Male,75 to 79,Road injuries,Number,2014,95.43247686680458,108.69826472805616,83.22234695615907
Deaths,Ukraine,Female,75 to 79,Road injuries,Number,2014,90.2913137535212,104.6324962789649,77.27721791562739
Deaths,Ukraine,Male,80 plus,Road injuries,Number,2014,67.59700052392965,77.30809043084109,59.386611084193845
Deaths,Ukraine,Female,80 plus,Road injuries,Number,2014,77.41893800447752,88.36038414916543,66.47587189120267
Deaths,Ukraine,Male,All Ages,Road injuries,Number,2014,4245.1662759955825,4561.114025693759,4049.5967568326037
Deaths,Ukraine,Female,All Ages,Road injuries,Number,2014,1286.6226601410012,1376.3632356608298,1227.632008553758
Deaths,Czechia,Male,20 to 24,Road injuries,Number,2014,58.80244072303082,65.62978594604968,51.89229126433894
Deaths,Czechia,Female,20 to 24,Road injuries,Number,2014,14.547112671195187,16.869084468190835,12.404426275473385
Deaths,Czechia,Male,25 to 29,Road injuries,Number,2014,47.40249918097324,54.01072698823095,41.23759016529401
Deaths,Czechia,Female,25 to 29,Road injuries,Number,2014,11.134756018774949,13.429121220269279,9.047432937691292
Deaths,Czechia,Male,30 to 34,Road injuries,Number,2014,41.20334219067456,47.63197139099341,35.431565573206456
Deaths,Czechia,Female,30 to 34,Road injuries,Number,2014,8.318798959351168,10.263361119138883,6.634398351165418
